,species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
153,Chinstrap,Dream,50.0,19.5,196.0,3900.0,MALE
154,Chinstrap,Dream,51.3,19.2,193.0,3650.0,MALE
156,Chinstrap,Dream,52.7,19.8,197.0,3725.0,MALE
159,Chinstrap,Dream,51.3,18.2,197.0,3750.0,MALE
161,Chinstrap,Dream,51.3,19.9,198.0,3700.0,MALE
163,Chinstrap,Dream,51.7,20.3,194.0,3775.0,MALE
165,Chinstrap,Dream,52.0,18.1,201.0,4050.0,MALE
167,Chinstrap,Dream,50.5,19.6,201.0,4050.0,MALE
168,Chinstrap,Dream,50.3,20.0,197.0,3300.0,MALE
169,Chinstrap,Dream,58.0,17.8,181.0,3700.0,FEMALE
171,Chinstrap,Dream,49.2,18.2,195.0,4400.0,MALE
173,Chinstrap,Dream,48.5,17.5,191.0,3400.0,MALE
175,Chinstrap,Dream,50.6,19.4,193.0,3800.0,MALE
177,Chinstrap,Dream,52.0,19.0,197.0,4150.0,MALE
178,Chinstrap,Dream,50.5,18.4,200.0,3400.0,FEMALE
179,Chinstrap,Dream,49.5,19.0,200.0,3800.0,MALE
181,Chinstrap,Dream,52.8,20.0,205.0,4550.0,MALE
183,Chinstrap,Dream,54.2,20.8,201.0,4300.0,MALE
185,Chinstrap,Dream,51.0,18.8,203.0,4100.0,MALE
186,Chinstrap,Dream,49.7,18.6,195.0,3600.0,MALE
189,Chinstrap,Dream,52.0,20.7,210.0,4800.0,MALE
191,Chinstrap,Dream,53.5,19.9,205.0,4500.0,MALE
192,Chinstrap,Dream,49.0,19.5,210.0,3950.0,MALE
194,Chinstrap,Dream,50.9,19.1,196.0,3550.0,MALE
196,Chinstrap,Dream,50.9,17.9,196.0,3675.0,FEMALE
197,Chinstrap,Dream,50.8,18.5,201.0,4450.0,MALE
198,Chinstrap,Dream,50.1,17.9,190.0,3400.0,FEMALE
199,Chinstrap,Dream,49.0,19.6,212.0,4300.0,MALE
200,Chinstrap,Dream,51.5,18.7,187.0,3250.0,MALE
201,Chinstrap,Dream,49.8,17.3,198.0,3675.0,FEMALE
202,Chinstrap,Dream,48.1,16.4,199.0,3325.0,FEMALE
203,Chinstrap,Dream,51.4,19.0,201.0,3950.0,MALE
205,Chinstrap,Dream,50.7,19.7,203.0,4050.0,MALE
207,Chinstrap,Dream,52.2,18.8,197.0,3450.0,MALE
209,Chinstrap,Dream,49.3,19.9,203.0,4050.0,MALE
210,Chinstrap,Dream,50.2,18.8,202.0,3800.0,MALE
212,Chinstrap,Dream,51.9,19.5,206.0,3950.0,MALE
215,Chinstrap,Dream,55.8,19.8,207.0,4000.0,MALE
217,Chinstrap,Dream,49.6,18.2,193.0,3775.0,MALE
218,Chinstrap,Dream,50.8,19.0,210.0,4100.0,MALE
219,Chinstrap,Dream,50.2,18.7,198.0,3775.0,FEMALE
221,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,MALE
222,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,FEMALE
223,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,MALE
231,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,MALE
233,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,MALE
235,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,MALE
237,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,MALE
239,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,MALE
240,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,MALE
248,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,FEMALE
249,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,MALE
253,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,MALE
254,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,FEMALE
255,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,MALE
259,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,MALE
261,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,MALE
263,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,MALE
264,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,MALE
267,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,MALE
271,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,MALE
273,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,MALE
279,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,MALE
283,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,MALE
285,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,MALE
287,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,MALE
289,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,MALE
292,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,MALE
295,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,MALE
297,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,MALE
300,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,FEMALE
301,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,MALE
303,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,MALE
305,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,MALE
307,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,MALE
309,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,MALE
311,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,MALE
313,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,MALE
315,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,MALE
316,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,MALE
318,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,FEMALE
319,Gentoo,Biscoe,51.1,16.5,225.0,5250.0,MALE
320,Gentoo,Biscoe,48.5,15.0,219.0,4850.0,FEMALE
321,Gentoo,Biscoe,55.9,17.0,228.0,5600.0,MALE
323,Gentoo,Biscoe,49.1,15.0,228.0,5500.0,MALE
327,Gentoo,Biscoe,53.4,15.8,219.0,5500.0,MALE
329,Gentoo,Biscoe,48.1,15.1,209.0,5500.0,MALE
330,Gentoo,Biscoe,50.5,15.2,216.0,5000.0,FEMALE
331,Gentoo,Biscoe,49.8,15.9,229.0,5950.0,MALE
333,Gentoo,Biscoe,51.5,16.3,230.0,5500.0,MALE
335,Gentoo,Biscoe,55.1,16.0,230.0,5850.0,MALE
337,Gentoo,Biscoe,48.8,16.2,222.0,6000.0,MALE
341,Gentoo,Biscoe,50.4,15.7,222.0,5750.0,MALE
343,Gentoo,Biscoe,49.9,16.1,213.0,5400.0,MALE
